location,section,name,serving_size,calories,total_fat,protein,carbs,sugars,ingredients,raw_nutrition_text
Marketplace Coffee Shop,Hot Beverages,Large Matcha Green Tea Latte with 2% Milk,21.3 oz,410,10g,15g,66g,64g,"Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Syrup, Vanilla (VANILLA SYRUP: PURE CANE SUGAR, WATER, NATURAL FLAVORS, NATURAL VANILLA EXTRACT), Sleeve, Hot Cup, Tea Powder, Matcha (Organic Matcha Powder (Camellia Sinensis)), Cup, Hot 16oz, Lid, Hot 12-16-20oz","Nutrition Facts
Serving Size
21.3 oz
Amount per serving
Calories
410
% Daily Value *
Total Fat 10g
16%
Saturated Fat 6g
30%
Trans Fat 0g
Cholesterol 38mg
13%
Sodium 220mg
10%
Total Carbohydrate 66g
22%
Dietary Fiber 0g
0%
Total Sugars 64g
Includes 0g Added Sugars
0%
Protein 15g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Syrup, Vanilla (VANILLA SYRUP: PURE CANE SUGAR, WATER, NATURAL FLAVORS, NATURAL VANILLA EXTRACT), Sleeve, Hot Cup, Tea Powder, Matcha (Organic Matcha Powder (Camellia Sinensis)), Cup, Hot 16oz, Lid, Hot 12-16-20oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced Coffee,16.3 oz,0,0g,0g,0g,0g,"Water, Ice, Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Straw, Jumbo 7.75"", Cup, Cold 16 oz","Nutrition Facts
Serving Size
16.3 oz
Amount per serving
Calories
0
% Daily Value *
Total Fat 0g
0%
Saturated Fat 0g
0%
Trans Fat 0g
Cholesterol 0mg
0%
Sodium 1mg
0%
Total Carbohydrate 0g
0%
Dietary Fiber 0g
0%
Total Sugars 0g
Includes 0g Added Sugars
0%
Protein 0g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Water, Ice, Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Straw, Jumbo 7.75"", Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Coffee,23.8 oz,0,0g,0g,0g,0g,"Water, Ice, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz, Straw, Jumbo 7.75""","Nutrition Facts
Serving Size
23.8 oz
Amount per serving
Calories
0
% Daily Value *
Total Fat 0g
0%
Saturated Fat 0g
0%
Trans Fat 0g
Cholesterol 0mg
0%
Sodium 1mg
0%
Total Carbohydrate 0g
0%
Dietary Fiber 0g
0%
Total Sugars 0g
Includes 0g Added Sugars
0%
Protein 0g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Water, Ice, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz, Straw, Jumbo 7.75"""
Marketplace Coffee Shop,Iced Beverages,Regular Iced Cafe Latte with 2% Milk,16 oz,78,3.3g,5g,8g,8g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 16 oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
16 oz
Amount per serving
Calories
78
% Daily Value *
Total Fat 3.3g
5%
Saturated Fat 1.9g
10%
Trans Fat 0g
Cholesterol 13mg
4%
Sodium 75mg
3%
Total Carbohydrate 8g
3%
Dietary Fiber 0g
0%
Total Sugars 8g
Includes 0g Added Sugars
0%
Protein 5g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 16 oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Cafe Latte with 2% Milk,24.6 oz,121,5g,8g,12g,12g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
24.6 oz
Amount per serving
Calories
121
% Daily Value *
Total Fat 5g
8%
Saturated Fat 3g
15%
Trans Fat 0g
Cholesterol 20mg
7%
Sodium 116mg
5%
Total Carbohydrate 12g
4%
Dietary Fiber 0g
0%
Total Sugars 12g
Includes 0g Added Sugars
0%
Protein 8g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced Cafe Mocha with 2% Milk,19.4 oz,259,6g,9g,47g,46g,"Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 16 oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
19.4 oz
Amount per serving
Calories
259
% Daily Value *
Total Fat 6g
9%
Saturated Fat 3.4g
17%
Trans Fat 0g
Cholesterol 18mg
6%
Sodium 151mg
7%
Total Carbohydrate 47g
16%
Dietary Fiber 1g
4%
Total Sugars 46g
Includes 33g Added Sugars
66%
Protein 9g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 16 oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Cafe Mocha with 2% Milk,25.1 oz,350,7g,10g,67g,64g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
25.1 oz
Amount per serving
Calories
350
% Daily Value *
Total Fat 7g
11%
Saturated Fat 4.1g
21%
Trans Fat 0g
Cholesterol 20mg
7%
Sodium 190mg
8%
Total Carbohydrate 67g
22%
Dietary Fiber 2g
7%
Total Sugars 64g
Includes 50g Added Sugars
100%
Protein 10g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced White Mocha with 2% Milk,19.3 oz,244,4.5g,9g,43g,37g,"Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz","Nutrition Facts
Serving Size
19.3 oz
Amount per serving
Calories
244
% Daily Value *
Total Fat 4.5g
7%
Saturated Fat 2.7g
14%
Trans Fat 0g
Cholesterol 18mg
6%
Sodium 232mg
10%
Total Carbohydrate 43g
14%
Dietary Fiber 0g
0%
Total Sugars 37g
Includes 24g Added Sugars
48%
Protein 9g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced White Mocha with 2% Milk,25.1 oz,314,5g,10g,57g,48g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
25.1 oz
Amount per serving
Calories
314
% Daily Value *
Total Fat 5g
8%
Saturated Fat 3.1g
16%
Trans Fat 0g
Cholesterol 21mg
7%
Sodium 299mg
13%
Total Carbohydrate 57g
19%
Dietary Fiber 0g
0%
Total Sugars 48g
Includes 34g Added Sugars
68%
Protein 10g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced Buckeye Mocha with 2% Milk,18.1 oz,270,4.9g,7g,53g,52g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Syrup, Peanut Butter Davinci (PEANUT BUTTER SYRUP: Pure Cane SugarWaterCitric AcidSodium Benzoate (preservative)Potassium Sorbate (preservative)Caramel ColorNatural and Artificial Flavor) (Peanuts), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz","Nutrition Facts
Serving Size
18.1 oz
Amount per serving
Calories
270
% Daily Value *
Total Fat 4.9g
8%
Saturated Fat 2.8g
14%
Trans Fat 0g
Cholesterol 14mg
5%
Sodium 130mg
6%
Total Carbohydrate 53g
18%
Dietary Fiber 1g
4%
Total Sugars 52g
Includes 33g Added Sugars
66%
Protein 7g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Syrup, Peanut Butter Davinci (PEANUT BUTTER SYRUP: Pure Cane SugarWaterCitric AcidSodium Benzoate (preservative)Potassium Sorbate (preservative)Caramel ColorNatural and Artificial Flavor) (Peanuts), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Buckeye Mocha with 2% Milk,25.3 oz,386,6g,8g,80g,78g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Syrup, Peanut Butter Davinci (PEANUT BUTTER SYRUP: Pure Cane SugarWaterCitric AcidSodium Benzoate (preservative)Potassium Sorbate (preservative)Caramel ColorNatural and Artificial Flavor) (Peanuts), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz","Nutrition Facts
Serving Size
25.3 oz
Amount per serving
Calories
386
% Daily Value *
Total Fat 6g
9%
Saturated Fat 3.3g
16%
Trans Fat 0g
Cholesterol 15mg
5%
Sodium 161mg
7%
Total Carbohydrate 80g
27%
Dietary Fiber 2g
7%
Total Sugars 78g
Includes 50g Added Sugars
100%
Protein 8g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Water, Sauce, Frozenta Chocolate (FROZENTA CHOCOLATE SAUCE: SUGAR, WATER, COCOA, UNSWEETENED CHOCOLATE, SALT, XANTHAN GUM, VANILLIN, POTASSIUM SORBATE), Syrup, Peanut Butter Davinci (PEANUT BUTTER SYRUP: Pure Cane SugarWaterCitric AcidSodium Benzoate (preservative)Potassium Sorbate (preservative)Caramel ColorNatural and Artificial Flavor) (Peanuts), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced Mocha with 2% Milk,20.4 oz,298,6g,24g,52g,45g,"Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Caramel Sauce (Corn Syrup, Sugar, Water, Salted Butter (Cream (Milk), Salt), Non-Fat Milk Powder Contains 2% Or Less Of Disodium Phosphate, Salt, Lecithin (Soy), Natural &amp; Artificial Flavor, Potassium Sorbate (Preservative), Caramel Color) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz","Nutrition Facts
Serving Size
20.4 oz
Amount per serving
Calories
298
% Daily Value *
Total Fat 6g
9%
Saturated Fat 3.5g
18%
Trans Fat 0.7g
Cholesterol 23mg
8%
Sodium 383mg
17%
Total Carbohydrate 52g
17%
Dietary Fiber 0g
0%
Total Sugars 45g
Includes 32g Added Sugars
64%
Protein 24g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Caramel Sauce (Corn Syrup, Sugar, Water, Salted Butter (Cream (Milk), Salt), Non-Fat Milk Powder Contains 2% Or Less Of Disodium Phosphate, Salt, Lecithin (Soy), Natural &amp; Artificial Flavor, Potassium Sorbate (Preservative), Caramel Color) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Mocha with 2% Milk,27.4 oz,441,8g,41g,81g,68g,"Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Caramel Sauce (Corn Syrup, Sugar, Water, Salted Butter (Cream (Milk), Salt), Non-Fat Milk Powder Contains 2% Or Less Of Disodium Phosphate, Salt, Lecithin (Soy), Natural &amp; Artificial Flavor, Potassium Sorbate (Preservative), Caramel Color) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
27.4 oz
Amount per serving
Calories
441
% Daily Value *
Total Fat 8g
12%
Saturated Fat 4.7g
24%
Trans Fat 1.5g
Cholesterol 30mg
10%
Sodium 618mg
27%
Total Carbohydrate 81g
27%
Dietary Fiber 0g
0%
Total Sugars 68g
Includes 53g Added Sugars
106%
Protein 41g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Ice, Water, Sauce, Frozenta White Chocolate (FROZENTA WHITE CHOCOLATE SAUCE: CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WATER, SWEETENED CONDENSED MILK (CONDENSED MILK, SUGAR), NON-FAT MILK POWDER, CONTAINS 2% OR LESS OF NATURAL AND ARTIFICIAL FLAVOR, COCOA BUTTER, SALT, DISODIUM PHOSPHATE, MONO &amp; DIGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE) (Dairy, Soy), Caramel Sauce (Corn Syrup, Sugar, Water, Salted Butter (Cream (Milk), Salt), Non-Fat Milk Powder Contains 2% Or Less Of Disodium Phosphate, Salt, Lecithin (Soy), Natural &amp; Artificial Flavor, Potassium Sorbate (Preservative), Caramel Color) (Dairy, Soy), Cold Brew Coffee Beans (COFFEE BEANS), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz"
Marketplace Coffee Shop,Iced Beverages,Regular Iced Chai Latte with 2% Milk,17.6 oz,147,3.2g,5g,26g,26g,"Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Chai Concentrate (IINGREDIENTS: AN INFUSION OF (WATER, DECAFFEINATED BLACK TEA, ROOIBOS, BLACK PEPPER, CARDAMOM, CINNAMON, GINGER, CLOVES, CHICORY, NATURAL FLAVORS, STAR ANISE), CANE SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA EXTRACT, CITRIC ACID.), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz","Nutrition Facts
Serving Size
17.6 oz
Amount per serving
Calories
147
% Daily Value *
Total Fat 3.2g
5%
Saturated Fat 1.9g
10%
Trans Fat 0g
Cholesterol 13mg
4%
Sodium 77mg
3%
Total Carbohydrate 26g
9%
Dietary Fiber 0g
0%
Total Sugars 26g
Includes 18g Added Sugars
36%
Protein 5g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Chai Concentrate (IINGREDIENTS: AN INFUSION OF (WATER, DECAFFEINATED BLACK TEA, ROOIBOS, BLACK PEPPER, CARDAMOM, CINNAMON, GINGER, CLOVES, CHICORY, NATURAL FLAVORS, STAR ANISE), CANE SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA EXTRACT, CITRIC ACID.), Lid, Cold Flat 16/24 oz, Cup, Cold 16 oz"
Marketplace Coffee Shop,Iced Beverages,Large Iced Chai Latte with 2% Milk,25.7 oz,198,4.2g,7g,35g,35g,"Ice, Chai Concentrate (IINGREDIENTS: AN INFUSION OF (WATER, DECAFFEINATED BLACK TEA, ROOIBOS, BLACK PEPPER, CARDAMOM, CINNAMON, GINGER, CLOVES, CHICORY, NATURAL FLAVORS, STAR ANISE), CANE SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA EXTRACT, CITRIC ACID.), Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz","Nutrition Facts
Serving Size
25.7 oz
Amount per serving
Calories
198
% Daily Value *
Total Fat 4.2g
7%
Saturated Fat 2.5g
13%
Trans Fat 0g
Cholesterol 17mg
6%
Sodium 100mg
4%
Total Carbohydrate 35g
12%
Dietary Fiber 0g
0%
Total Sugars 35g
Includes 25g Added Sugars
50%
Protein 7g
Vitamin C 0mg
0%
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice.
** Data is not available for this nutrient.
Ingredients: Ice, Chai Concentrate (IINGREDIENTS: AN INFUSION OF (WATER, DECAFFEINATED BLACK TEA, ROOIBOS, BLACK PEPPER, CARDAMOM, CINNAMON, GINGER, CLOVES, CHICORY, NATURAL FLAVORS, STAR ANISE), CANE SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA EXTRACT, CITRIC ACID.), Milk, Reduced Fat, 2% (INGREDIENTS: REDUCED FAT MILK, VITAMIN A PALMITATE AND VITAMIN D3 ADDEDCONTAINS: MILK) (Dairy), Cup, Cold 24oz, Lid, Cold Flat 16/24 oz"
